instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,4,meta-llama/Llama-3.1-70B,27,55,587870262,1283043661,695173399,1087567,23386964,24880979,"[21408225, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 31726661, 20913325, 20913325, 20913325, 79280120, 20371186, 20371186, 63486173, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163]"
0,14,meta-llama/Llama-3.1-70B,4,28,1601985365,2269116234,667130869,11863313,33040774,27569134,"[134541979, 22257900, 21747316, 21113057, 25733798, 21207246, 21207246, 21207246, 22638607, 22392145, 22583088, 21432597, 21432597, 22576577, 21444959, 39245044, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22199177]"
0,35,meta-llama/Llama-3.1-70B,17,22,3336021694,3458351699,122330005,8318234,31040117,22822472,"[22093397, 24505843, 22345324, 22345324]"
0,43,meta-llama/Llama-3.1-70B,469,470,3880823975,3927540002,46716027,1560483,46716027,0,[]
0,31,meta-llama/Llama-3.1-70B,1998,2048,2529630331,4069904933,1540274602,33098218,194742446,27459839,"[21760035, 21760035, 21760035, 21760035, 21760035, 21760035, 23749899, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 29540910, 21829874, 21829874, 21829874, 21828754, 21828754, 21828754, 22721883, 22093397, 24505843, 22345324, 22345324, 22133280, 22133280, 41721971, 22345324, 26570334, 117400763, 126897405, 22415201, 22415201, 45155544, 29035571, 22428476, 22428476, 22428476, 23564013, 22479919]"
0,23,meta-llama/Llama-3.1-70B,21,134,2013730478,5253920768,3240190290,20790483,43367060,28543064,"[21444959, 39245044, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22199177, 82668840, 22448974, 21567930, 21567930, 22591866, 69423659, 21629180, 31713936, 161644228, 21760035, 21760035, 21760035, 21760035, 21760035, 21760035, 23749899, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 29540910, 21829874, 21829874, 21829874, 21828754, 21828754, 21828754, 22721883, 22093397, 24505843, 22345324, 22345324, 22133280, 22133280, 41721971, 22345324, 26570334, 117400763, 126897405, 22415201, 22415201, 45155544, 29035571, 22428476, 22428476, 22428476, 23564013, 22479919, 98126734, 23102389, 22567087, 24498661, 23577202, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 23159767, 22582958, 22582958, 22582958, 22582958, 22582958, 23627116, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 109247305, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730]"
0,44,meta-llama/Llama-3.1-70B,165,216,3910769752,5253920768,1343151016,16770250,45805821,25946903,"[22428476, 22428476, 22428476, 23564013, 22479919, 98126734, 23102389, 22567087, 24498661, 23577202, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 23159767, 22582958, 22582958, 22582958, 22582958, 22582958, 23627116, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 109247305, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730]"
0,3,meta-llama/Llama-3.1-70B,26,209,570907775,5530369587,4959461812,18050054,40349451,27028089,"[21408225, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 20865938, 31726661, 20913325, 20913325, 20913325, 79280120, 20371186, 20371186, 63486173, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20455156, 20455156, 20455156, 20455156, 20455156, 21401435, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 20512163, 21549002, 21481496, 21177461, 134541979, 22257900, 21747316, 21113057, 25733798, 21207246, 21207246, 21207246, 22638607, 22392145, 22583088, 21432597, 21432597, 22576577, 21444959, 39245044, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22199177, 82668840, 22448974, 21567930, 21567930, 22591866, 69423659, 21629180, 31713936, 161644228, 21760035, 21760035, 21760035, 21760035, 21760035, 21760035, 23749899, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 21795732, 29540910, 21829874, 21829874, 21829874, 21828754, 21828754, 21828754, 22721883, 22093397, 24505843, 22345324, 22345324, 22133280, 22133280, 41721971, 22345324, 26570334, 117400763, 126897405, 22415201, 22415201, 45155544, 29035571, 22428476, 22428476, 22428476, 23564013, 22479919, 98126734, 23102389, 22567087, 24498661, 23577202, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 22548830, 23159767, 22582958, 22582958, 22582958, 22582958, 22582958, 23627116, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 109247305, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 26420410, 22649814, 22649814, 23642941, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730]"
0,51,meta-llama/Llama-3.1-70B,16,62,4728227566,5946610612,1218383046,7856447,31483563,26375544,"[22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 22649814, 109247305, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 26420410, 22649814, 22649814, 23642941, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 22635730, 22649814, 22649814, 22649814, 23924209, 24528459, 22970221, 24604126, 22967011, 23435506, 86981526, 23151894, 23151894, 23151894, 23151894, 26272949]"
0,60,meta-llama/Llama-3.1-70B,1,10,5704274631,5993671497,289396866,13038424,36473930,31615367,"[86981526, 23151894, 23151894, 23151894, 23151894, 26272949, 23151894, 23908991]"
